Año(aaaa)-Trimestre(t),Orden del país, País,Estado de la información,Unidad multiplicadora,Moneda (USD),Valor
2007-1,25,Dinamarca,Definitivo,Millones,Dólar estadounidense,"0,176125934"
2007-1,26,Ecuador,Definitivo,Millones,Dólar estadounidense,"3,389166455"
2007-1,27,El Salvador,Definitivo,Millones,Dólar estadounidense,"0,000118"
2007-1,28,Escocia,Definitivo,Millones,Dólar estadounidense,0
2007-1,29,España,Definitivo,Millones,Dólar estadounidense,"108,2294236"
2007-1,30,Estados Unidos,Definitivo,Millones,Dólar estadounidense,"553,8411142"
2007-1,31,Finlandia,Definitivo,Millones,Dólar estadounidense,"0,00000045"
2007-1,32,Francia,Definitivo,Millones,Dólar estadounidense,"27,06451571"
2007-1,33,Gibraltar,Definitivo,Millones,Dólar estadounidense,0
2007-1,34,Grecia,Definitivo,Millones,Dólar estadounidense,0
2007-1,35,Guatemala,Definitivo,Millones,Dólar estadounidense,"0,2675"
2007-1,36,Honduras,Definitivo,Millones,Dólar estadounidense,0
2007-1,37,Hong Kong,Definitivo,Millones,Dólar estadounidense,0
2007-1,38,Hungría,Definitivo,Millones,Dólar estadounidense,0
2007-1,39,Islas Caimán,Definitivo,Millones,Dólar estadounidense,"26,07264899"
2007-1,40,Islas Vírgenes Británicas,Definitivo,Millones,Dólar estadounidense,"-34,89635884"
2007-1,41,India,Definitivo,Millones,Dólar estadounidense,"0,0199424"
2007-1,42,Inglaterra,Definitivo,Millones,Dólar estadounidense,"359,6015888"
2007-1,44,Irán,Definitivo,Millones,Dólar estadounidense,0
2007-1,45,Irlanda⁴,Definitivo,Millones,Dólar estadounidense,"0,26463482"
2007-1,46,Isla de Man,Definitivo,Millones,Dólar estadounidense,0
2007-1,47,Israel,Definitivo,Millones,Dólar estadounidense,"0,189597881"
2007-1,48,Italia,Definitivo,Millones,Dólar estadounidense,"4,709877091"
2007-1,49,Japón,Definitivo,Millones,Dólar estadounidense,"5,430720941"
2007-1,50,Jordania,Definitivo,Millones,Dólar estadounidense,0
2007-1,51,Kuwait,Definitivo,Millones,Dólar estadounidense,0
2007-1,52,Líbano,Definitivo,Millones,Dólar estadounidense,0
2007-1,53,Liberia,Definitivo,Millones,Dólar estadounidense,0
2007-1,54,Liechtenstein,Definitivo,Millones,Dólar estadounidense,0
2007-1,55,Lituania,Definitivo,Millones,Dólar estadounidense,0
2007-1,56,Luxemburgo,Definitivo,Millones,Dólar estadounidense,"9,194502439"
2007-1,57,Malasia,Definitivo,Millones,Dólar estadounidense,0
2007-1,58,México,Definitivo,Millones,Dólar estadounidense,"123,2669148"
2007-1,59,Nicaragua,Definitivo,Millones,Dólar estadounidense,0
2007-1,60,Noruega,Definitivo,Millones,Dólar estadounidense,"4,895693403"
2007-1,61,Nueva Zelanda,Definitivo,Millones,Dólar estadounidense,0
2007-1,62,Países Bajos,Definitivo,Millones,Dólar estadounidense,"-251,9800119"
2007-1,63,Panamá,Definitivo,Millones,Dólar estadounidense,"199,7862328"
2007-1,64,Paraguay,Definitivo,Millones,Dólar estadounidense,0
2007-1,65,Perú,Definitivo,Millones,Dólar estadounidense,"1,99060706"
2007-1,66,Portugal,Definitivo,Millones,Dólar estadounidense,"6,974671081"
2007-1,67,Puerto Rico,Definitivo,Millones,Dólar estadounidense,"-0,1117468"
2007-1,69,República Dominicana,Definitivo,Millones,Dólar estadounidense,"-0,148407454"
2007-1,70,Singapur,Definitivo,Millones,Dólar estadounidense,0
2007-1,71,Sri Lanka,Definitivo,Millones,Dólar estadounidense,0
2007-1,72,Suecia,Definitivo,Millones,Dólar estadounidense,"4,31291662"
2007-1,73,Suiza,Definitivo,Millones,Dólar estadounidense,"39,4273998"
2007-1,74,Sudáfrica,Definitivo,Millones,Dólar estadounidense,0
2007-1,75,Tailandia,Definitivo,Millones,Dólar estadounidense,0
2007-1,76,Taiwán,Definitivo,Millones,Dólar estadounidense,0
2007-1,77,Ucrania,Definitivo,Millones,Dólar estadounidense,"0,01"
2007-1,78,Uruguay,Definitivo,Millones,Dólar estadounidense,"3,626013205"
2007-1,79,Venezuela,Definitivo,Millones,Dólar estadounidense,"13,16359059"
2007-1,81,Otros Países,Definitivo,Millones,Dólar estadounidense,"-2,458451615"
2007-1,82,Total paises,Definitivo,Millones,Dólar estadounidense,"2026,281705"
2007-2,1,Afganistán,Definitivo,Millones,Dólar estadounidense,"0,04"
2007-2,2,Albania,Definitivo,Millones,Dólar estadounidense,0
2007-2,3,Alemania,Definitivo,Millones,Dólar estadounidense,"6,617006811"
2007-2,4,Anguilla,Definitivo,Millones,Dólar estadounidense,"362,1123921"
2007-2,5,Antillas Holandesas,Definitivo,Millones,Dólar estadounidense,"0,311809725"
2007-2,6,Argentina,Definitivo,Millones,Dólar estadounidense,"1,454554094"
2007-2,7,Aruba,Definitivo,Millones,Dólar estadounidense,"9,444485224"
2007-2,8,Australia,Definitivo,Millones,Dólar estadounidense,"-0,16877662"
2007-2,9,Austria,Definitivo,Millones,Dólar estadounidense,"0,584717984"
2007-2,10,Bahamas,Definitivo,Millones,Dólar estadounidense,"5,136534211"
2007-2,11,Barbados,Definitivo,Millones,Dólar estadounidense,"9,970179211"
2007-2,12,Bélgica,Definitivo,Millones,Dólar estadounidense,"0,984206219"
2007-2,13,Belice,Definitivo,Millones,Dólar estadounidense,"1,770373"
2007-2,14,Bermudas,Definitivo,Millones,Dólar estadounidense,"46,83298724"
2007-2,15,Bolivia,Definitivo,Millones,Dólar estadounidense,"0,073468376"
2007-2,16,Brasil,Definitivo,Millones,Dólar estadounidense,"8,254417285"
2007-2,17,Canadá,Definitivo,Millones,Dólar estadounidense,"1,857664147"
2007-2,18,Chile,Definitivo,Millones,Dólar estadounidense,"4,692058907"
2007-2,19,China,Definitivo,Millones,Dólar estadounidense,"0,333912538"
2007-2,20,Corea del Sur,Definitivo,Millones,Dólar estadounidense,"0,555580539"
2007-2,21,Chipre,Definitivo,Millones,Dólar estadounidense,"-0,181586"
2007-2,22,Costa Rica,Definitivo,Millones,Dólar estadounidense,"1,923033741"
2007-2,23,Cuba,Definitivo,Millones,Dólar estadounidense,"0,105"
2007-2,24,Curazao,Definitivo,Millones,Dólar estadounidense,0
2007-2,25,Dinamarca,Definitivo,Millones,Dólar estadounidense,"2,047747954"
2007-2,26,Ecuador,Definitivo,Millones,Dólar estadounidense,"2,072388304"
2007-2,27,El Salvador,Definitivo,Millones,Dólar estadounidense,"0,306377"
2007-2,28,Escocia,Definitivo,Millones,Dólar estadounidense,0
2007-2,29,España,Definitivo,Millones,Dólar estadounidense,"88,05885284"
2007-2,30,Estados Unidos,Definitivo,Millones,Dólar estadounidense,"975,1601008"
2007-2,31,Finlandia,Definitivo,Millones,Dólar estadounidense,"0,000141"
2007-2,32,Francia,Definitivo,Millones,Dólar estadounidense,"167,3287707"
2007-2,33,Gibraltar,Definitivo,Millones,Dólar estadounidense,0
2007-2,34,Grecia,Definitivo,Millones,Dólar estadounidense,0
2007-2,35,Guatemala,Definitivo,Millones,Dólar estadounidense,"0,139132"
2007-2,36,Honduras,Definitivo,Millones,Dólar estadounidense,"0,001152"
2007-2,37,Hong Kong,Definitivo,Millones,Dólar estadounidense,0
2007-2,38,Hungría,Definitivo,Millones,Dólar estadounidense,0
2007-2,39,Islas Caimán,Definitivo,Millones,Dólar estadounidense,"83,41869741"
2007-2,40,Islas Vírgenes Británicas,Definitivo,Millones,Dólar estadounidense,"59,40481209"
2007-2,41,India,Definitivo,Millones,Dólar estadounidense,"0,009971"
2007-2,42,Inglaterra,Definitivo,Millones,Dólar estadounidense,"564,7969191"
2007-2,44,Irán,Definitivo,Millones,Dólar estadounidense,0
2007-2,45,Irlanda⁴,Definitivo,Millones,Dólar estadounidense,"0,314939505"
2007-2,46,Isla de Man,Definitivo,Millones,Dólar estadounidense,0
2007-2,47,Israel,Definitivo,Millones,Dólar estadounidense,"0,192726777"
2007-2,48,Italia,Definitivo,Millones,Dólar estadounidense,"4,479056899"
2007-2,49,Japón,Definitivo,Millones,Dólar estadounidense,"5,618900266"
2007-2,50,Jordania,Definitivo,Millones,Dólar estadounidense,0
2007-2,51,Kuwait,Definitivo,Millones,Dólar estadounidense,0
2007-2,52,Líbano,Definitivo,Millones,Dólar estadounidense,"0,099972"
2007-2,53,Liberia,Definitivo,Millones,Dólar estadounidense,0
2007-2,54,Liechtenstein,Definitivo,Millones,Dólar estadounidense,0
2007-2,55,Lituania,Definitivo,Millones,Dólar estadounidense,"0,184387"
2007-2,56,Luxemburgo,Definitivo,Millones,Dólar estadounidense,"19,82617675"
2007-2,57,Malasia,Definitivo,Millones,Dólar estadounidense,0
2007-2,58,México,Definitivo,Millones,Dólar estadounidense,"45,2090968"
2007-2,59,Nicaragua,Definitivo,Millones,Dólar estadounidense,0
2007-2,60,Noruega,Definitivo,Millones,Dólar estadounidense,"8,513128759"
2007-2,61,Nueva Zelanda,Definitivo,Millones,Dólar estadounidense,"0,21796"
2007-2,62,Países Bajos,Definitivo,Millones,Dólar estadounidense,"-510,1612097"
2007-2,63,Panamá,Definitivo,Millones,Dólar estadounidense,"192,7933578"
2007-2,64,Paraguay,Definitivo,Millones,Dólar estadounidense,0
2007-2,65,Perú,Definitivo,Millones,Dólar estadounidense,"0,049320444"
2007-2,66,Portugal,Definitivo,Millones,Dólar estadounidense,"3,034600241"
2007-2,67,Puerto Rico,Definitivo,Millones,Dólar estadounidense,"0,1754"
2007-2,69,República Dominicana,Definitivo,Millones,Dólar estadounidense,"-0,173941302"
2007-2,70,Singapur,Definitivo,Millones,Dólar estadounidense,0
2007-2,71,Sri Lanka,Definitivo,Millones,Dólar estadounidense,0
2007-2,72,Suecia,Definitivo,Millones,Dólar estadounidense,"4,885357913"
2007-2,73,Suiza,Definitivo,Millones,Dólar estadounidense,"24,78158319"
2007-2,74,Sudáfrica,Definitivo,Millones,Dólar estadounidense,0
2007-2,75,Tailandia,Definitivo,Millones,Dólar estadounidense,0
2007-2,76,Taiwán,Definitivo,Millones,Dólar estadounidense,0
2007-2,77,Ucrania,Definitivo,Millones,Dólar estadounidense,0
2007-2,78,Uruguay,Definitivo,Millones,Dólar estadounidense,"5,055732429"
2007-2,79,Venezuela,Definitivo,Millones,Dólar estadounidense,"23,33264246"
2007-2,81,Otros Países,Definitivo,Millones,Dólar estadounidense,"-5,141917213"
2007-2,82,Total paises,Definitivo,Millones,Dólar estadounidense,"2228,736352"
2007-3,1,Afganistán,Definitivo,Millones,Dólar estadounidense,0
2007-3,2,Albania,Definitivo,Millones,Dólar estadounidense,0
2007-3,3,Alemania,Definitivo,Millones,Dólar estadounidense,"6,173572481"
2007-3,4,Anguilla,Definitivo,Millones,Dólar estadounidense,"305,633627"
2007-3,5,Antillas Holandesas,Definitivo,Millones,Dólar estadounidense,"0,219873955"
2007-3,6,Argentina,Definitivo,Millones,Dólar estadounidense,"0,32343271"
2007-3,7,Aruba,Definitivo,Millones,Dólar estadounidense,"0,160013527"
2007-3,8,Australia,Definitivo,Millones,Dólar estadounidense,"3,449388994"
2007-3,9,Austria,Definitivo,Millones,Dólar estadounidense,"0,288658204"
2007-3,10,Bahamas,Definitivo,Millones,Dólar estadounidense,"3,334699772"
2007-3,11,Barbados,Definitivo,Millones,Dólar estadounidense,"8,922616482"
2007-3,12,Bélgica,Definitivo,Millones,Dólar estadounidense,"0,577024508"
2007-3,13,Belice,Definitivo,Millones,Dólar estadounidense,0
2007-3,14,Bermudas,Definitivo,Millones,Dólar estadounidense,"13,44053836"
2007-3,15,Bolivia,Definitivo,Millones,Dólar estadounidense,"-0,001283555"
2007-3,16,Brasil,Definitivo,Millones,Dólar estadounidense,"6,513582357"
2007-3,17,Canadá,Definitivo,Millones,Dólar estadounidense,"66,53939996"
2007-3,18,Chile,Definitivo,Millones,Dólar estadounidense,"11,34588842"
2007-3,19,China,Definitivo,Millones,Dólar estadounidense,"1,525475409"
2007-3,20,Corea del Sur,Definitivo,Millones,Dólar estadounidense,"0,447036518"
2007-3,21,Chipre,Definitivo,Millones,Dólar estadounidense,0
2007-3,22,Costa Rica,Definitivo,Millones,Dólar estadounidense,"0,366568951"
2007-3,23,Cuba,Definitivo,Millones,Dólar estadounidense,0
2007-3,24,Curazao,Definitivo,Millones,Dólar estadounidense,"-0,01902281"
2007-3,25,Dinamarca,Definitivo,Millones,Dólar estadounidense,"0,23987105"
2007-3,26,Ecuador,Definitivo,Millones,Dólar estadounidense,"1,254849593"
2007-3,27,El Salvador,Definitivo,Millones,Dólar estadounidense,0
2007-3,28,Escocia,Definitivo,Millones,Dólar estadounidense,0
2007-3,29,España,Definitivo,Millones,Dólar estadounidense,"269,0099705"
2007-3,30,Estados Unidos,Definitivo,Millones,Dólar estadounidense,"623,1161688"
2007-3,31,Finlandia,Definitivo,Millones,Dólar estadounidense,"0,031888"
2007-3,32,Francia,Definitivo,Millones,Dólar estadounidense,"21,72998569"
2007-3,33,Gibraltar,Definitivo,Millones,Dólar estadounidense,0
2007-3,34,Grecia,Definitivo,Millones,Dólar estadounidense,0
2007-3,35,Guatemala,Definitivo,Millones,Dólar estadounidense,"0,071236"
2007-3,36,Honduras,Definitivo,Millones,Dólar estadounidense,0
2007-3,37,Hong Kong,Definitivo,Millones,Dólar estadounidense,0
2007-3,38,Hungría,Definitivo,Millones,Dólar estadounidense,0
2007-3,39,Islas Caimán,Definitivo,Millones,Dólar estadounidense,"136,3956517"
2007-3,40,Islas Vírgenes Británicas,Definitivo,Millones,Dólar estadounidense,"51,86829792"
2007-3,41,India,Definitivo,Millones,Dólar estadounidense,"0,032828"
2007-3,42,Inglaterra,Definitivo,Millones,Dólar estadounidense,"303,7683107"
2007-3,44,Irán,Definitivo,Millones,Dólar estadounidense,0
2007-3,45,Irlanda⁴,Definitivo,Millones,Dólar estadounidense,"0,298510209"
2007-3,46,Isla de Man,Definitivo,Millones,Dólar estadounidense,0
2007-3,47,Israel,Definitivo,Millones,Dólar estadounidense,"4,230381535"
2007-3,48,Italia,Definitivo,Millones,Dólar estadounidense,"3,818388729"
2007-3,49,Japón,Definitivo,Millones,Dólar estadounidense,"13,71592716"
2007-3,50,Jordania,Definitivo,Millones,Dólar estadounidense,0
2007-3,51,Kuwait,Definitivo,Millones,Dólar estadounidense,0
2007-3,52,Líbano,Definitivo,Millones,Dólar estadounidense,0
2007-3,53,Liberia,Definitivo,Millones,Dólar estadounidense,0
2007-3,54,Liechtenstein,Definitivo,Millones,Dólar estadounidense,0
2007-3,55,Lituania,Definitivo,Millones,Dólar estadounidense,"0,032364"
2007-3,56,Luxemburgo,Definitivo,Millones,Dólar estadounidense,"8,785574282"
2007-3,57,Malasia,Definitivo,Millones,Dólar estadounidense,0
2007-3,58,México,Definitivo,Millones,Dólar estadounidense,"102,8969136"
2007-3,59,Nicaragua,Definitivo,Millones,Dólar estadounidense,0
2007-3,60,Noruega,Definitivo,Millones,Dólar estadounidense,"6,818089044"
2007-3,61,Nueva Zelanda,Definitivo,Millones,Dólar estadounidense,0
2007-3,62,Países Bajos,Definitivo,Millones,Dólar estadounidense,"66,2460066"
2007-3,63,Panamá,Definitivo,Millones,Dólar estadounidense,"185,7589803"
2007-3,64,Paraguay,Definitivo,Millones,Dólar estadounidense,0
2007-3,65,Perú,Definitivo,Millones,Dólar estadounidense,"6,578876572"
2007-3,66,Portugal,Definitivo,Millones,Dólar estadounidense,"0,037320575"
2007-3,67,Puerto Rico,Definitivo,Millones,Dólar estadounidense,"-0,12939707"
2007-3,69,República Dominicana,Definitivo,Millones,Dólar estadounidense,"0,059449348"
2007-3,70,Singapur,Definitivo,Millones,Dólar estadounidense,"0,01"
2007-3,71,Sri Lanka,Definitivo,Millones,Dólar estadounidense,0
2007-3,72,Suecia,Definitivo,Millones,Dólar estadounidense,"4,26509967"
2007-3,73,Suiza,Definitivo,Millones,Dólar estadounidense,"25,11702797"
2007-3,74,Sudáfrica,Definitivo,Millones,Dólar estadounidense,"0,038"
2007-3,75,Tailandia,Definitivo,Millones,Dólar estadounidense,0
2007-3,76,Taiwán,Definitivo,Millones,Dólar estadounidense,"0,01998"
2007-3,77,Ucrania,Definitivo,Millones,Dólar estadounidense,"0,092957"
2007-3,78,Uruguay,Definitivo,Millones,Dólar estadounidense,"4,947310045"
2007-3,79,Venezuela,Definitivo,Millones,Dólar estadounidense,"59,10942045"
2007-3,81,Otros Países,Definitivo,Millones,Dólar estadounidense,"-3,778690389"
2007-3,82,Total paises,Definitivo,Millones,Dólar estadounidense,"2325,728639"
2007-4,1,Afganistán,Definitivo,Millones,Dólar estadounidense,0
2007-4,2,Albania,Definitivo,Millones,Dólar estadounidense,0
2007-4,3,Alemania,Definitivo,Millones,Dólar estadounidense,"8,20492246"
2007-4,4,Anguilla,Definitivo,Millones,Dólar estadounidense,"365,6258063"
2007-4,5,Antillas Holandesas,Definitivo,Millones,Dólar estadounidense,"0,2245161"
2007-4,6,Argentina,Definitivo,Millones,Dólar estadounidense,"1,982370628"
2007-4,7,Aruba,Definitivo,Millones,Dólar estadounidense,"-2,093242738"
2007-4,8,Australia,Definitivo,Millones,Dólar estadounidense,"1,124162182"
2007-4,9,Austria,Definitivo,Millones,Dólar estadounidense,"0,763099602"
2007-4,10,Bahamas,Definitivo,Millones,Dólar estadounidense,"8,219088651"
2007-4,11,Barbados,Definitivo,Millones,Dólar estadounidense,"8,550841997"
2007-4,12,Bélgica,Definitivo,Millones,Dólar estadounidense,"0,324470665"
2007-4,13,Belice,Definitivo,Millones,Dólar estadounidense,0
2007-4,14,Bermudas,Definitivo,Millones,Dólar estadounidense,"31,87063319"
2007-4,15,Bolivia,Definitivo,Millones,Dólar estadounidense,"0,011839753"
2007-4,16,Brasil,Definitivo,Millones,Dólar estadounidense,"21,63138549"
2007-4,17,Canadá,Definitivo,Millones,Dólar estadounidense,"63,6749052"
2007-4,18,Chile,Definitivo,Millones,Dólar estadounidense,"35,11856928"
2007-4,19,China,Definitivo,Millones,Dólar estadounidense,"1,409381669"
2007-4,20,Corea del Sur,Definitivo,Millones,Dólar estadounidense,"36,40248264"
2007-4,21,Chipre,Definitivo,Millones,Dólar estadounidense,"0,089125"
2007-4,22,Costa Rica,Definitivo,Millones,Dólar estadounidense,"1,011745375"
2007-4,23,Cuba,Definitivo,Millones,Dólar estadounidense,"0,009975"
2007-4,24,Curazao,Definitivo,Millones,Dólar estadounidense,"-0,001186"
2007-4,25,Dinamarca,Definitivo,Millones,Dólar estadounidense,"2,020639969"
2007-4,26,Ecuador,Definitivo,Millones,Dólar estadounidense,"-2,28106495"
2007-4,27,El Salvador,Definitivo,Millones,Dólar estadounidense,0
2007-4,28,Escocia,Definitivo,Millones,Dólar estadounidense,"0,044994"
2007-4,29,España,Definitivo,Millones,Dólar estadounidense,"106,4868698"
2007-4,30,Estados Unidos,Definitivo,Millones,Dólar estadounidense,"545,2526756"
2007-4,31,Finlandia,Definitivo,Millones,Dólar estadounidense,0
2007-4,32,Francia,Definitivo,Millones,Dólar estadounidense,"24,62241002"
2007-4,33,Gibraltar,Definitivo,Millones,Dólar estadounidense,0
2007-4,34,Grecia,Definitivo,Millones,Dólar estadounidense,0
2007-4,35,Guatemala,Definitivo,Millones,Dólar estadounidense,"0,09"
2007-4,36,Honduras,Definitivo,Millones,Dólar estadounidense,"0,05"
2007-4,37,Hong Kong,Definitivo,Millones,Dólar estadounidense,0
2007-4,38,Hungría,Definitivo,Millones,Dólar estadounidense,0
2007-4,39,Islas Caimán,Definitivo,Millones,Dólar estadounidense,"51,12290515"
2007-4,40,Islas Vírgenes Británicas,Definitivo,Millones,Dólar estadounidense,"142,7697452"
2007-4,41,India,Definitivo,Millones,Dólar estadounidense,"0,085"
2007-4,42,Inglaterra,Definitivo,Millones,Dólar estadounidense,"351,8236127"
2007-4,44,Irán,Definitivo,Millones,Dólar estadounidense,0
2007-4,45,Irlanda⁴,Definitivo,Millones,Dólar estadounidense,"4,637725176"
2007-4,46,Isla de Man,Definitivo,Millones,Dólar estadounidense,0
2007-4,47,Israel,Definitivo,Millones,Dólar estadounidense,"1,486693801"
2007-4,48,Italia,Definitivo,Millones,Dólar estadounidense,"5,285946338"
2007-4,49,Japón,Definitivo,Millones,Dólar estadounidense,"4,716753617"
2007-4,50,Jordania,Definitivo,Millones,Dólar estadounidense,0
2007-4,51,Kuwait,Definitivo,Millones,Dólar estadounidense,0
2007-4,52,Líbano,Definitivo,Millones,Dólar estadounidense,"0,069968"
2007-4,53,Liberia,Definitivo,Millones,Dólar estadounidense,0
2007-4,54,Liechtenstein,Definitivo,Millones,Dólar estadounidense,0
2007-4,55,Lituania,Definitivo,Millones,Dólar estadounidense,"0,09671822"
2007-4,56,Luxemburgo,Definitivo,Millones,Dólar estadounidense,"9,01921824"
2007-4,57,Malasia,Definitivo,Millones,Dólar estadounidense,0
2007-4,58,México,Definitivo,Millones,Dólar estadounidense,"118,181598"
2007-4,59,Nicaragua,Definitivo,Millones,Dólar estadounidense,"0,00956797"
2007-4,60,Noruega,Definitivo,Millones,Dólar estadounidense,"6,904094974"
2007-4,61,Nueva Zelanda,Definitivo,Millones,Dólar estadounidense,0
2007-4,62,Países Bajos,Definitivo,Millones,Dólar estadounidense,"36,24703299"
2007-4,63,Panamá,Definitivo,Millones,Dólar estadounidense,"260,400675"
2007-4,64,Paraguay,Definitivo,Millones,Dólar estadounidense,"0,009955"
2007-4,65,Perú,Definitivo,Millones,Dólar estadounidense,"4,969525944"
2007-4,66,Portugal,Definitivo,Millones,Dólar estadounidense,"-0,004556104"
2007-4,67,Puerto Rico,Definitivo,Millones,Dólar estadounidense,0
2007-4,69,República Dominicana,Definitivo,Millones,Dólar estadounidense,"0,190333328"
2007-4,70,Singapur,Definitivo,Millones,Dólar estadounidense,0
2007-4,71,Sri Lanka,Definitivo,Millones,Dólar estadounidense,0
2007-4,72,Suecia,Definitivo,Millones,Dólar estadounidense,"4,414951062"
2007-4,73,Suiza,Definitivo,Millones,Dólar estadounidense,"32,64428056"
2007-4,74,Sudáfrica,Definitivo,Millones,Dólar estadounidense,0
2007-4,75,Tailandia,Definitivo,Millones,Dólar estadounidense,0
2007-4,76,Taiwán,Definitivo,Millones,Dólar estadounidense,"0,6"
2007-4,77,Ucrania,Definitivo,Millones,Dólar estadounidense,"-0,00647088"
2007-4,78,Uruguay,Definitivo,Millones,Dólar estadounidense,"0,340433706"
2007-4,79,Venezuela,Definitivo,Millones,Dólar estadounidense,"10,85635637"
2007-4,81,Otros Países,Definitivo,Millones,Dólar estadounidense,"-2,295779694"
2007-4,82,Total paises,Definitivo,Millones,Dólar estadounidense,"2305,017702"
2008-1,1,Afganistán,Definitivo,Millones,Dólar estadounidense,"3,568902"
2008-1,2,Albania,Definitivo,Millones,Dólar estadounidense,0
2008-1,3,Alemania,Definitivo,Millones,Dólar estadounidense,"42,03807409"
2008-1,4,Anguilla,Definitivo,Millones,Dólar estadounidense,"372,7724755"
2008-1,5,Antillas Holandesas,Definitivo,Millones,Dólar estadounidense,"0,494731953"
2008-1,6,Argentina,Definitivo,Millones,Dólar estadounidense,"1,854096293"
2008-1,7,Aruba,Definitivo,Millones,Dólar estadounidense,"-0,155377849"
2008-1,8,Australia,Definitivo,Millones,Dólar estadounidense,"0,163961285"
2008-1,9,Austria,Definitivo,Millones,Dólar estadounidense,"0,909145332"
2008-1,10,Bahamas,Definitivo,Millones,Dólar estadounidense,"10,18447615"
2008-1,11,Barbados,Definitivo,Millones,Dólar estadounidense,"16,16818999"
2008-1,12,Bélgica,Definitivo,Millones,Dólar estadounidense,"0,119787855"
2008-1,13,Belice,Definitivo,Millones,Dólar estadounidense,"0,103511"
2008-1,14,Bermudas,Definitivo,Millones,Dólar estadounidense,"77,57305481"
2008-1,15,Bolivia,Definitivo,Millones,Dólar estadounidense,"0,053019521"
2008-1,16,Brasil,Definitivo,Millones,Dólar estadounidense,"22,70639273"
2008-1,17,Canadá,Definitivo,Millones,Dólar estadounidense,"32,1502868"
2008-1,18,Chile,Definitivo,Millones,Dólar estadounidense,"27,1079289"
2008-1,19,China,Definitivo,Millones,Dólar estadounidense,"-1,903101347"
2008-1,20,Corea del Sur,Definitivo,Millones,Dólar estadounidense,"-0,580718757"
2008-1,21,Chipre,Definitivo,Millones,Dólar estadounidense,0
2008-1,22,Costa Rica,Definitivo,Millones,Dólar estadounidense,"0,422396835"
2008-1,23,Cuba,Definitivo,Millones,Dólar estadounidense,0
2008-1,24,Curazao,Definitivo,Millones,Dólar estadounidense,"0,345198206"
2008-1,25,Dinamarca,Definitivo,Millones,Dólar estadounidense,"0,317452699"
2008-1,26,Ecuador,Definitivo,Millones,Dólar estadounidense,"1,454072804"
2008-1,27,El Salvador,Definitivo,Millones,Dólar estadounidense,"0,002241"
2008-1,28,Escocia,Definitivo,Millones,Dólar estadounidense,0
2008-1,29,España,Definitivo,Millones,Dólar estadounidense,"337,0891734"
2008-1,30,Estados Unidos,Definitivo,Millones,Dólar estadounidense,"660,5025286"
2008-1,31,Finlandia,Definitivo,Millones,Dólar estadounidense,"0,001101"
2008-1,32,Francia,Definitivo,Millones,Dólar estadounidense,"89,65954014"
2008-1,33,Gibraltar,Definitivo,Millones,Dólar estadounidense,0
2008-1,34,Grecia,Definitivo,Millones,Dólar estadounidense,"2,392487"
2008-1,35,Guatemala,Definitivo,Millones,Dólar estadounidense,"0,047241"
2008-1,36,Honduras,Definitivo,Millones,Dólar estadounidense,"0,05"
2008-1,37,Hong Kong,Definitivo,Millones,Dólar estadounidense,"0,2105"
2008-1,38,Hungría,Definitivo,Millones,Dólar estadounidense,0
2008-1,39,Islas Caimán,Definitivo,Millones,Dólar estadounidense,"14,24685975"
2008-1,40,Islas Vírgenes Británicas,Definitivo,Millones,Dólar estadounidense,"45,85478755"
